Journal,ISSN,eISSN,Category,IF,Quartile,Rank,Open_Access,Edition
Safety and Health at Work,2093-7911,2093-7997,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",3.5,Q2, 68/180 ,93.81%,SSCI
INTERNATIONAL REVIEW OF ADMINISTRATIVE SCIENCES,0020-8523,1461-7226,PUBLIC ADMINISTRATION,2.3,Q3, 32/49 ,17.90%,SSCI
PUBLIC MONEY & MANAGEMENT,0954-0962,1467-9302,PUBLIC ADMINISTRATION,2.5,Q3, 29/49 ,23.93%,SSCI
Journal of Aggression Maltreatment & Trauma,1092-6771,1545-083X,FAMILY STUDIES,1.8,Q3, 29/46 ,3.46%,SSCI
JOURNAL OF COMMUNITY & APPLIED SOCIAL PSYCHOLOGY,1052-9284,1099-1298,"PSYCHOLOGY, SOCIAL",2.7,Q3, 32/63 ,31.08%,SSCI
JOURNAL OF LOSS & TRAUMA,1532-5024,1532-5032,"PSYCHOLOGY, SOCIAL",4.7,Q1, 13/63 ,7.25%,SSCI
JOURNAL OF PUBLIC HEALTH DENTISTRY,0022-4006,1752-7325,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",2.3,Q3, 138/207 ,8.85%,SCIE
Policy and Society,1449-4035,1839-3373,PUBLIC ADMINISTRATION,9.3,Q1, 1/49 ,97.12%,SSCI
International Journal of Occupational Medicine and Environmental Health,1232-1087,1896-494X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",2.0,Q3, 155/207 ,99.47%,SCIE
Current Pollution Reports,2198-6592,2198-6592,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",7.3,Q1, 21/207 ,17.12%,SCIE
JOURNAL OF NONVERBAL BEHAVIOR,0191-5886,1573-3653,"PSYCHOLOGY, SOCIAL",2.1,Q3, 46/63 ,34.52%,SSCI
Global Health-Science and Practice,2169-575X,2169-575X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",4.0,Q2, 75/207 ,98.44%,SCIE
Global Health-Science and Practice,2169-575X,2169-575X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",4.0,Q2, 53/180 ,98.44%,SSCI
STUDIES IN FAMILY PLANNING,0039-3665,1728-4465,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",2.1,Q3, 122/180 ,27.85%,SSCI
Disaster Prevention and Management,0965-3562,1758-6100,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.9,Q3, 133/180 ,10.27%,SSCI
Journal of Epidemiology and Global Health,2210-6006,2210-6014,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",7.3,Q1, 21/207 ,98.81%,SCIE
Journal of Epidemiology and Global Health,2210-6006,2210-6014,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",7.3,Q1, 12/180 ,98.81%,SSCI
RESEARCH ON LANGUAGE AND SOCIAL INTERACTION,0835-1813,1532-7973,"PSYCHOLOGY, SOCIAL",2.7,Q3, 32/63 ,30.65%,SSCI
Journal of Family and Economic Issues,1058-0476,1573-3475,FAMILY STUDIES,2.4,Q2, 20/46 ,15.04%,SSCI
Australian Journal of Rural Health,1038-5282,1440-1584,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.8,Q4, 166/207 ,18.35%,SCIE
Australian Journal of Rural Health,1038-5282,1440-1584,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.8,Q4, 140/180 ,18.35%,SSCI
Pathogens and Global Health,2047-7724,2047-7732,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",3.4,Q2, 98/207 ,10.19%,SCIE
Population Health Metrics,1478-7954,1478-7954,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",3.3,Q2, 76/180 ,100%,SSCI
EVOLUTION & DEVELOPMENT,1520-541X,1525-142X,EVOLUTIONARY BIOLOGY,2.9,Q2, 25/52 ,23.26%,SCIE
Critical Public Health,0958-1596,1469-3682,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",2.8,Q2, 89/180 ,26.50%,SSCI
International Health,1876-3413,1876-3405,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",2.5,Q3, 133/207 ,89.77%,SCIE
International Health,1876-3413,1876-3405,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",2.5,Q3, 101/180 ,89.77%,SSCI
Nations and Nationalism,1354-5078,1469-8129,ETHNIC STUDIES,2.2,Q2, 9/20 ,27.72%,SSCI
Journal of Family Theory & Review,1756-2570,1756-2589,FAMILY STUDIES,4.5,Q1, 6/46 ,14.58%,SSCI
Lancet Regional Health-Western Pacific,,2666-6065,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",7.1,Q1, 26/207 ,85.71%,SCIE
Lancet Regional Health-Western Pacific,,2666-6065,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",7.1,Q1, 14/180 ,85.71%,SSCI
HEALTH,1363-4593,1461-7196,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",2.1,Q3, 122/180 ,28.43%,SSCI
One Health,,2352-7714,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",5.0,Q1, 48/207 ,91.72%,SCIE
Regulation & Governance,1748-5983,1748-5991,PUBLIC ADMINISTRATION,3.0,Q2, 20/49 ,39.33%,SSCI
HIGH ALTITUDE MEDICINE & BIOLOGY,1527-0297,1557-8682,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",2.1,Q3, 146/207 ,5.96%,SCIE
JOURNAL OF RADIOLOGICAL PROTECTION,0952-4746,1361-6498,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.5,Q4, 178/207 ,20.37%,SCIE
Journal of Developmental Origins of Health and Disease,2040-1744,2040-1752,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.7,Q4, 168/207 ,18.92%,SCIE
JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION,1552-5007,1552-5015,EVOLUTIONARY BIOLOGY,2.2,Q3, 35/52 ,16.15%,SCIE
Evolutionary Biology,0071-3260,1934-2845,EVOLUTIONARY BIOLOGY,2.5,Q3, 32/52 ,26.53%,SCIE
Sexual Health,1448-5028,1449-8987,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.6,Q4, 176/207 ,39.09%,SCIE
Sexual Health,1448-5028,1449-8987,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.6,Q4, 152/180 ,39.09%,SSCI
Conflict and Health,1752-1505,1752-1505,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",3.6,Q2, 88/207 ,98.64%,SCIE
Conflict and Health,1752-1505,1752-1505,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",3.6,Q2, 65/180 ,98.64%,SSCI
Health Reports,0840-6529,1209-1367,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",5.0,Q1, 48/207 ,0%,SCIE
Health Reports,0840-6529,1209-1367,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",5.0,Q1, 29/180 ,0%,SSCI
Digital Health,2055-2076,2055-2076,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",3.9,Q2, 77/207 ,88.11%,SCIE
Digital Health,2055-2076,2055-2076,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",3.9,Q2, 54/180 ,88.11%,SSCI
DEVELOPMENT GENES AND EVOLUTION,0949-944X,1432-041X,EVOLUTIONARY BIOLOGY,2.4,Q3, 34/52 ,40.74%,SCIE
WILDERNESS & ENVIRONMENTAL MEDICINE,1080-6032,1545-1534,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.4,Q4, 179/207 ,9.52%,SCIE
Journal of Child Sexual Abuse,1053-8712,1547-0679,FAMILY STUDIES,1.9,Q3, 28/46 ,4.88%,SSCI
Nonprofit Management & Leadership,1048-6682,1542-7854,PUBLIC ADMINISTRATION,2.8,Q3, 25/49 ,10%,SSCI
JOURNAL OF PSYCHOSOCIAL ONCOLOGY,0734-7332,1540-7586,"PSYCHOLOGY, SOCIAL",2.1,Q3, 46/63 ,6.10%,SSCI
Journal of Diversity in Higher Education,1938-8926,1938-8934,"PSYCHOLOGY, SOCIAL",2.4,Q3, 42/63 ,0%,SSCI
Public Performance & Management Review,1530-9576,1557-9271,PUBLIC ADMINISTRATION,3.1,Q2, 17/49 ,11.58%,SSCI
POLICY AND POLITICS,0305-5736,1470-8442,PUBLIC ADMINISTRATION,4.7,Q1, 7/49 ,17.39%,SSCI
Social Psychology,1864-9335,2151-2590,"PSYCHOLOGY, SOCIAL",1.8,Q4, 52/63 ,18.87%,SSCI
AIDS EDUCATION AND PREVENTION,0899-9546,1943-2755,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.8,Q4, 140/180 ,0%,SSCI
Emerging Adulthood,2167-6968,2167-6984,FAMILY STUDIES,2.6,Q2, 17/46 ,7.67%,SSCI
Emerging Adulthood,2167-6968,2167-6984,"PSYCHOLOGY, SOCIAL",2.6,Q3, 37/63 ,7.67%,SSCI
International Journal of Circumpolar Health,1239-9736,2242-3982,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.3,Q4, 182/207 ,98.89%,SCIE
International Journal of Circumpolar Health,1239-9736,2242-3982,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.3,Q4, 160/180 ,98.89%,SSCI
JOURNAL OF SYSTEMATIC PALAEONTOLOGY,1477-2019,1478-0941,EVOLUTIONARY BIOLOGY,2.6,Q3, 29/52 ,7.74%,SCIE
Tobacco Induced Diseases,1617-9625,1617-9625,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",3.7,Q2, 85/207 ,98.85%,SCIE
Tobacco Induced Diseases,1617-9625,1617-9625,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",3.7,Q2, 62/180 ,98.85%,SSCI
Social Justice Research,0885-7466,1573-6725,"PSYCHOLOGY, SOCIAL",2.3,Q3, 45/63 ,40.98%,SSCI
GESUNDHEITSWESEN,0941-3790,1439-4421,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.1,Q4, 169/180 ,14.50%,SSCI
Review of Public Personnel Administration,0734-371X,1552-759X,PUBLIC ADMINISTRATION,3.9,Q1, 10/49 ,14.93%,SSCI
Noise & Health,1463-1741,1998-4030,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",0.7,Q4, 199/207 ,5.13%,SCIE
ASIAN JOURNAL OF SOCIAL PSYCHOLOGY,1367-2223,1467-839X,"PSYCHOLOGY, SOCIAL",2.4,Q3, 42/63 ,11.18%,SSCI
JOURNAL FOR THE THEORY OF SOCIAL BEHAVIOUR,0021-8308,1468-5914,"PSYCHOLOGY, SOCIAL",1.4,Q4, 60/63 ,23.48%,SSCI
MEDICAL ANTHROPOLOGY QUARTERLY,0745-5194,1548-1387,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",2.2,Q3, 118/180 ,17.58%,SSCI
EUROPEAN JOURNAL OF CONTRACEPTION AND REPRODUCTIVE HEALTH CARE,1362-5187,1473-0782,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.7,Q4, 168/207 ,20.18%,SCIE
International Public Management Journal,1096-7494,1559-3169,PUBLIC ADMINISTRATION,2.6,Q3, 28/49 ,20.90%,SSCI
Journal of Primary Prevention,0278-095X,1573-6547,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.7,Q4, 145/180 ,8.11%,SSCI
JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH,0947-5745,1439-0469,EVOLUTIONARY BIOLOGY,1.9,Q3, 39/52 ,67.53%,SCIE
JOURNAL OF BEHAVIORAL HEALTH SERVICES & RESEARCH,1094-3412,1556-3308,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.9,Q4, 162/207 ,10.14%,SCIE
JOURNAL OF BEHAVIORAL HEALTH SERVICES & RESEARCH,1094-3412,1556-3308,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.9,Q3, 133/180 ,10.14%,SSCI
Health Promotion Journal of Australia,1036-1073,2201-1617,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.9,Q3, 133/180 ,20.60%,SSCI
HERD-Health Environments Research & Design Journal,1937-5867,2167-5112,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",2.2,Q3, 118/180 ,10.89%,SSCI
China CDC Weekly,,2096-7071,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",4.7,Q2, 58/207 ,76.33%,SCIE
China CDC Weekly,,2096-7071,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",4.7,Q1, 37/180 ,76.33%,SSCI
JOURNAL OF PUBLIC HEALTH POLICY,0197-5897,1745-655X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",3.8,Q2, 80/207 ,18.38%,SCIE
JOURNAL OF PUBLIC HEALTH POLICY,0197-5897,1745-655X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",3.8,Q2, 58/180 ,18.38%,SSCI
Sex Education-Sexuality Society and Learning,1468-1811,1472-0825,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.9,Q3, 133/180 ,14.85%,SSCI
BMC International Health and Human Rights,,1472-698X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",3.0,Q2, 87/180 ,100%,SSCI
PERSPECTIVES ON SEXUAL AND REPRODUCTIVE HEALTH,1538-6341,1931-2393,FAMILY STUDIES,5.8,Q1, 3/46 ,19.15%,SSCI
ORGANISMS DIVERSITY & EVOLUTION,1439-6092,1618-1077,EVOLUTIONARY BIOLOGY,1.6,Q4, 43/52 ,24.28%,SCIE
ANNALI DELL ISTITUTO SUPERIORE DI SANITA,0021-2571,2384-8553,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",2.1,Q3, 146/207 ,0%,SCIE
LOCAL GOVERNMENT STUDIES,0300-3930,1743-9388,PUBLIC ADMINISTRATION,1.9,Q4, 38/49 ,21.50%,SSCI
Ethnicities,1468-7968,1741-2706,ETHNIC STUDIES,1.3,Q3, 15/20 ,26.80%,SSCI
Perspectives in Public Health,1757-9139,1757-9147,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",5.8,Q1, 20/180 ,36.11%,SSCI
JOURNAL OF BLACK STUDIES,0021-9347,1552-4566,ETHNIC STUDIES,1.1,Q4, 19/20 ,2.36%,SSCI
Games for Health Journal,2161-783X,2161-7856,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",3.5,Q2, 68/180 ,1.97%,SSCI
African Journal of Reproductive Health,1118-4841,2141-3606,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.0,Q4, 173/180 ,0%,SSCI
JMIR Serious Games,2291-9279,2291-9279,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",4.0,Q2, 75/207 ,99.66%,SCIE
Annals of Work Exposures and Health,2398-7308,2398-7316,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",2.6,Q3, 128/207 ,27.90%,SCIE
Journal of Occupational Medicine and Toxicology,1745-6673,1745-6673,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",3.0,Q3, 114/207 ,100%,SCIE
Du Bois Review-Social Science Research on Race,1742-058X,1742-0598,ETHNIC STUDIES,1.3,Q3, 15/20 ,20.90%,SSCI
Malawi Medical Journal,1995-7262,1995-7270,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",0.8,Q4, 197/207 ,84.03%,SCIE
AUSTRALIAN JOURNAL OF PUBLIC ADMINISTRATION,0313-6647,1467-8500,PUBLIC ADMINISTRATION,2.2,Q3, 34/49 ,21.53%,SSCI
HEALTH EDUCATION JOURNAL,0017-8969,1748-8176,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.3,Q4, 160/180 ,12.18%,SSCI
Australian Journal of Primary Health,1448-7527,1836-7399,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.3,Q4, 182/207 ,38.10%,SCIE
Australian Journal of Primary Health,1448-7527,1836-7399,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.3,Q4, 160/180 ,38.10%,SSCI
Current Epidemiology Reports,,2196-2995,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",3.3,Q2, 101/207 ,27.78%,SCIE
Journal of Public Policy,0143-814X,1469-7815,PUBLIC ADMINISTRATION,2.4,Q3, 31/49 ,40.87%,SSCI
JOURNAL OF MEDICAL SCREENING,0969-1413,1475-5793,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",2.9,Q3, 118/207 ,28.89%,SCIE
Parenting-Science and Practice,1529-5192,1532-7922,FAMILY STUDIES,2.2,Q2, 22/46 ,14.29%,SSCI
Review of Policy Research,1541-132X,1541-1338,PUBLIC ADMINISTRATION,2.1,Q3, 36/49 ,18.98%,SSCI
GROUP DYNAMICS-THEORY RESEARCH AND PRACTICE,1089-2699,1930-7802,"PSYCHOLOGY, SOCIAL",3.1,Q2, 28/63 ,0%,SSCI
Evolutionary Bioinformatics,1176-9343,1176-9343,EVOLUTIONARY BIOLOGY,2.6,Q3, 29/52 ,94.17%,SCIE
Sexual & Reproductive Healthcare,1877-5756,1877-5764,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.8,Q4, 140/180 ,31.11%,SSCI
CONTEMPORARY ECONOMIC POLICY,1074-3529,1465-7287,PUBLIC ADMINISTRATION,1.5,Q4, 39/49 ,13.16%,SSCI
Sociology of Race and Ethnicity,2332-6492,2332-6505,ETHNIC STUDIES,3.0,Q1, 5/20 ,3.23%,SSCI
JOURNAL OF ENVIRONMENTAL HEALTH,0022-0892,0022-0892,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",0.8,Q4, 197/207 ,0%,SCIE
Arhiv za Higijenu Rada i Toksikologiju-Archives of Industrial Hygiene and Toxicology,0004-1254,1848-6312,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",2.1,Q3, 146/207 ,99.02%,SCIE
JOURNAL OF PALLIATIVE CARE,0825-8597,2369-5293,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.7,Q4, 145/180 ,10.55%,SSCI
PUBLIC PERSONNEL MANAGEMENT,0091-0260,1945-7421,PUBLIC ADMINISTRATION,3.0,Q2, 20/49 ,5%,SSCI
INVERTEBRATE SYSTEMATICS,1445-5226,1447-2600,EVOLUTIONARY BIOLOGY,2.2,Q3, 35/52 ,9.32%,SCIE
FAMILY & COMMUNITY HEALTH,0160-6379,1550-5057,FAMILY STUDIES,2.3,Q2, 21/46 ,6.45%,SSCI
FAMILY & COMMUNITY HEALTH,0160-6379,1550-5057,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",2.3,Q3, 110/180 ,6.45%,SSCI
International Journal of Injury Control and Safety Promotion,1745-7300,1745-7319,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",2.3,Q3, 110/180 ,5.95%,SSCI
Indian Journal of Public Health,0019-557X,2229-7693,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.7,Q4, 168/207 ,69.73%,SCIE
Indian Journal of Public Health,0019-557X,2229-7693,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.7,Q4, 145/180 ,69.73%,SSCI
IDENTITIES-GLOBAL STUDIES IN CULTURE AND POWER,1070-289X,1547-3384,ETHNIC STUDIES,1.7,Q3, 11/20 ,28.40%,SSCI
Revista Espanola de Salud Publica,1135-5727,2173-9110,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.1,Q4, 169/180 ,0%,SSCI
Social Work in Public Health,1937-1918,1937-190X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",2.5,Q3, 101/180 ,3.35%,SSCI
CHILD WELFARE,0009-4021,,FAMILY STUDIES,0.7,Q4, 43/46 ,0%,SSCI
Journal of Agromedicine,1059-924X,1545-0813,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",2.4,Q3, 136/207 ,10.59%,SCIE
Child Abuse Review,0952-9136,1099-0852,FAMILY STUDIES,1.6,Q3, 33/46 ,25.17%,SSCI
Transgender Health,2688-4887,2380-193X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",2.0,Q3, 155/207 ,13.22%,SCIE
Transgender Health,2688-4887,2380-193X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",2.0,Q3, 129/180 ,13.22%,SSCI
Asian American Journal of Psychology,1948-1985,1948-1993,ETHNIC STUDIES,1.5,Q3, 13/20 ,0%,SSCI
Families Systems & Health,1091-7527,1939-0602,FAMILY STUDIES,1.3,Q4, 39/46 ,0%,SSCI
Families Systems & Health,1091-7527,1939-0602,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.3,Q4, 182/207 ,0%,SCIE
Families Systems & Health,1091-7527,1939-0602,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.3,Q4, 160/180 ,0%,SSCI
Social Issues and Policy Review,1751-2395,1751-2409,"PSYCHOLOGY, SOCIAL",9.4,Q1, 2/63 ,34.48%,SSCI
Families In Society-The Journal of Contemporary Social Services,1044-3894,1945-1350,FAMILY STUDIES,0.9,Q4, 41/46 ,2.16%,SSCI
Policy Studies,0144-2872,1470-1006,PUBLIC ADMINISTRATION,2.2,Q3, 34/49 ,21.79%,SSCI
Israel Journal of Health Policy Research,2045-4015,2045-4015,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",4.5,Q1, 43/180 ,98.69%,SSCI
Nationalities Papers-The Journal of Nationalism and Ethnicity,0090-5992,1465-3923,ETHNIC STUDIES,1.2,Q4, 17/20 ,38.57%,SSCI
Evolution Letters,,2056-3744,EVOLUTIONARY BIOLOGY,5.0,Q1, 7/52 ,64.93%,SCIE
GeoHealth,2471-1403,2471-1403,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",4.8,Q2, 55/207 ,62.75%,SCIE
TROPICAL DOCTOR,0049-4755,1758-1133,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",0.6,Q4, 201/207 ,0.87%,SCIE
PUBLIC ADMINISTRATION AND DEVELOPMENT,0271-2075,1099-162X,PUBLIC ADMINISTRATION,2.5,Q3, 29/49 ,8.57%,SSCI
Journal of Comparative Policy Analysis,1387-6988,1572-5448,PUBLIC ADMINISTRATION,3.3,Q2, 15/49 ,16.10%,SSCI
HEALTH RISK & SOCIETY,1369-8575,1469-8331,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",2.1,Q3, 122/180 ,29.87%,SSCI
Journal of Family Nursing,1074-8407,1552-549X,FAMILY STUDIES,3.1,Q2, 12/46 ,19.28%,SSCI
Journal of Tropical Medicine,1687-9686,1687-9694,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",2.2,Q3, 141/207 ,100%,SCIE
Health and Human Rights,,2150-4113,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",3.7,Q2, 62/180 ,0%,SSCI
Central European Journal of Public Health,1210-7778,1803-1048,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.2,Q4, 186/207 ,0%,SCIE
Central European Journal of Public Health,1210-7778,1803-1048,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.2,Q4, 166/180 ,0%,SSCI
Global Health Promotion,1757-9759,1757-9767,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",2.0,Q3, 129/180 ,12.37%,SSCI
JOURNAL OF COMPARATIVE FAMILY STUDIES,0047-2328,1929-9850,FAMILY STUDIES,1.7,Q3, 30/46 ,0%,SSCI
Aerospace Medicine and Human Performance,2375-6314,2375-6322,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",0.9,Q4, 192/207 ,2.75%,SCIE
Race and Social Problems,1867-1748,1867-1756,ETHNIC STUDIES,3.1,Q1, 3/20 ,8.65%,SSCI
JOURNAL OF FAMILY THERAPY,0163-4445,1467-6427,FAMILY STUDIES,1.6,Q3, 33/46 ,13.71%,SSCI
AMERICAN JOURNAL OF FAMILY THERAPY,0192-6187,1521-0383,FAMILY STUDIES,1.4,Q4, 37/46 ,3.25%,SSCI
RACE & CLASS,0306-3968,1741-3125,ETHNIC STUDIES,2.6,Q2, 6/20 ,18.46%,SSCI
Ethiopian Journal of Health Development,1021-6790,1021-6790,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",0.6,Q4, 201/207 ,0%,SCIE
Ethiopian Journal of Health Development,1021-6790,1021-6790,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",0.6,Q4, 179/180 ,0%,SSCI
Health Promotion and Chronic Disease Prevention in Canada-Research Policy and Practice,2368-738X,2368-738X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",2.9,Q3, 118/207 ,86.23%,SCIE
Journal of Individual Differences,1614-0001,2151-2299,"PSYCHOLOGY, SOCIAL",1.4,Q4, 60/63 ,10.47%,SSCI
Evolution Medicine and Public Health,,2050-6201,EVOLUTIONARY BIOLOGY,3.7,Q2, 16/52 ,96.26%,SCIE
Evolution Medicine and Public Health,,2050-6201,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",3.7,Q2, 85/207 ,96.26%,SCIE
Geospatial Health,1827-1987,1970-7096,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.7,Q4, 168/207 ,99.24%,SCIE
EvoDevo,,2041-9139,EVOLUTIONARY BIOLOGY,4.1,Q1, 11/52 ,100%,SCIE
REVUE D EPIDEMIOLOGIE ET DE SANTE PUBLIQUE,0398-7620,1773-0627,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",0.9,Q4, 192/207 ,6.42%,SCIE
PATTERNS OF PREJUDICE,0031-322X,1461-7331,ETHNIC STUDIES,1.5,Q3, 13/20 ,41.18%,SSCI
Chronic Illness,1742-3953,1745-9206,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.3,Q4, 182/207 ,12.90%,SCIE
Chronic Illness,1742-3953,1745-9206,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.3,Q4, 160/180 ,12.90%,SSCI
KOLNER ZEITSCHRIFT FUR SOZIOLOGIE UND SOZIALPSYCHOLOGIE,0023-2653,1861-891X,"PSYCHOLOGY, SOCIAL",1.5,Q4, 58/63 ,87.16%,SSCI
Health Security,2326-5094,2326-5108,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",3.3,Q2, 76/180 ,28.72%,SSCI
Progress in Community Health Partnerships-Research Education and Action,1557-0541,1557-055X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.1,Q4, 169/180 ,0%,SSCI
AUSTRALIAN SYSTEMATIC BOTANY,1030-1887,1446-5701,EVOLUTIONARY BIOLOGY,1.6,Q4, 43/52 ,32.14%,SCIE
