Journal,ISSN,eISSN,Category,IF,Quartile,Edition
Journal of Energy Chemistry,2095-4956,2095-4956," CHEMISTRY, PHYSICAL",13.599,Q1,SCIE
Journal of Energy Chemistry,2095-4956,2095-4956," ENGINEERING, CHEMICAL",13.599,Q1,SCIE
Journal of Energy Chemistry,2095-4956,2095-4956, ENERGY & FUELS,13.599,Q1,SCIE
Advanced Photonics,,2577-5421,OPTICS,13.582,Q1,SCIE
Clinical Gastroenterology and Hepatology,1542-3565,1542-7714,GASTROENTEROLOGY & HEPATOLOGY,13.576,Q1,SCIE
JOURNAL OF HEART AND LUNG TRANSPLANTATION,1053-2498,1557-3117,TRANSPLANTATION,13.569,Q1,SCIE
JOURNAL OF HEART AND LUNG TRANSPLANTATION,1053-2498,1557-3117, CARDIAC & CARDIOVASCULAR SYSTEMS,13.569,Q1,SCIE
JOURNAL OF HEART AND LUNG TRANSPLANTATION,1053-2498,1557-3117, SURGERY,13.569,Q1,SCIE
JOURNAL OF HEART AND LUNG TRANSPLANTATION,1053-2498,1557-3117, RESPIRATORY SYSTEM,13.569,Q1,SCIE
REVIEW OF EDUCATIONAL RESEARCH,0034-6543,1935-1046,EDUCATION & EDUCATIONAL RESEARCH,13.551,Q1,SSCI
Evidence-Based Mental Health,1362-0347,1468-960X,PSYCHIATRY,13.538,Q1,SCIE
JOURNAL OF MANAGEMENT,0149-2063,1557-1211,"PSYCHOLOGY, APPLIED",13.508,Q1,SSCI
JOURNAL OF MANAGEMENT,0149-2063,1557-1211, BUSINESS,13.508,Q1,SSCI
JOURNAL OF MANAGEMENT,0149-2063,1557-1211, MANAGEMENT,13.508,Q1,SSCI
Energy & Environmental Materials,,2575-0356,"MATERIALS SCIENCE, MULTIDISCIPLINARY",13.443,Q1,SCIE
MOLECULAR PSYCHIATRY,1359-4184,1476-5578,NEUROSCIENCES,13.437,Q1,SCIE
MOLECULAR PSYCHIATRY,1359-4184,1476-5578, BIOCHEMISTRY & MOLECULAR BIOLOGY,13.437,Q1,SCIE
MOLECULAR PSYCHIATRY,1359-4184,1476-5578, PSYCHIATRY,13.437,Q1,SCIE
SURFACE SCIENCE REPORTS,0167-5729,1879-274X,"PHYSICS, CONDENSED MATTER",13.417,Q1,SCIE
SURFACE SCIENCE REPORTS,0167-5729,1879-274X," CHEMISTRY, PHYSICAL",13.417,Q1,SCIE
DEVELOPMENTAL CELL,1534-5807,1878-1551,CELL BIOLOGY,13.417,Q1,SCIE
DEVELOPMENTAL CELL,1534-5807,1878-1551, DEVELOPMENTAL BIOLOGY,13.417,Q1,SCIE
International Journal of Surgery,1743-9191,1743-9159,SURGERY,13.4,Q1,SCIE
PHARMACOLOGY & THERAPEUTICS,0163-7258,1879-016X,PHARMACOLOGY & PHARMACY,13.4,Q1,SCIE
WATER RESEARCH,0043-1354,1879-2448,WATER RESOURCES,13.4,Q1,SCIE
WATER RESEARCH,0043-1354,1879-2448, ENVIRONMENTAL SCIENCES,13.4,Q1,SCIE
WATER RESEARCH,0043-1354,1879-2448," ENGINEERING, ENVIRONMENTAL",13.4,Q1,SCIE
Autophagy,1554-8627,1554-8635,CELL BIOLOGY,13.391,Q1,SCIE
INTERNATIONAL JOURNAL OF COMPUTER VISION,0920-5691,1573-1405,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",13.369,Q1,SCIE
Materials Today Nano,2588-8420,2588-8420,NANOSCIENCE & NANOTECHNOLOGY,13.364,Q1,SCIE
Materials Today Nano,2588-8420,2588-8420," MATERIALS SCIENCE, MULTIDISCIPLINARY",13.364,Q1,SCIE
Bone Research,2095-4700,2095-6231,CELL & TISSUE ENGINEERING,13.362,Q1,SCIE
JAMA Network Open,2574-3805,2574-3805,"MEDICINE, GENERAL & INTERNAL",13.353,Q1,SCIE
ENVIRONMENT INTERNATIONAL,0160-4120,1873-6750,ENVIRONMENTAL SCIENCES,13.352,Q1,SCIE
Annual Review of Animal Biosciences,2165-8102,2165-8110,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",13.341,Q1,SCIE
Annual Review of Animal Biosciences,2165-8102,2165-8110, BIOTECHNOLOGY & APPLIED MICROBIOLOGY,13.341,Q1,SCIE
Annual Review of Animal Biosciences,2165-8102,2165-8110, VETERINARY SCIENCES,13.341,Q1,SCIE
Annual Review of Animal Biosciences,2165-8102,2165-8110, ZOOLOGY,13.341,Q1,SCIE
Annual Review of Cancer Biology-Series,2472-3428,2472-3428,ONCOLOGY,13.34,Q1,SCIE
CANCER RESEARCH,0008-5472,1538-7445,ONCOLOGY,13.312,Q1,SCIE
CLINICAL MICROBIOLOGY AND INFECTION,1198-743X,1469-0691,MICROBIOLOGY,13.31,Q1,SCIE
CLINICAL MICROBIOLOGY AND INFECTION,1198-743X,1469-0691, INFECTIOUS DISEASES,13.31,Q1,SCIE
Foundations and Trends in Information Retrieval,1554-0669,1554-0677,"COMPUTER SCIENCE, INFORMATION SYSTEMS",13.286,Q1,SCIE
AMERICAN JOURNAL OF HEMATOLOGY,0361-8609,1096-8652,HEMATOLOGY,13.265,Q1,SCIE
PLANT BIOTECHNOLOGY JOURNAL,1467-7644,1467-7652,PLANT SCIENCES,13.263,Q1,SCIE
PLANT BIOTECHNOLOGY JOURNAL,1467-7644,1467-7652, BIOTECHNOLOGY & APPLIED MICROBIOLOGY,13.263,Q1,SCIE
GLOBAL CHANGE BIOLOGY,1354-1013,1365-2486,ECOLOGY,13.211,Q1,SCIE
GLOBAL CHANGE BIOLOGY,1354-1013,1365-2486, ENVIRONMENTAL SCIENCES,13.211,Q1,SCIE
GLOBAL CHANGE BIOLOGY,1354-1013,1365-2486, BIODIVERSITY CONSERVATION,13.211,Q1,SCIE
JOURNAL OF BUSINESS VENTURING,0883-9026,1873-2003,BUSINESS,13.139,Q1,SSCI
JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,0890-8567,1527-5418,PSYCHIATRY,13.113,Q1,SCIE
JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,0890-8567,1527-5418, PSYCHIATRY,13.113,Q1,SSCI
JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,0890-8567,1527-5418, PEDIATRICS,13.113,Q1,SCIE
JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,0890-8567,1527-5418," PSYCHOLOGY, DEVELOPMENTAL",13.113,Q1,SSCI
CARDIOVASCULAR RESEARCH,0008-6363,1755-3245,CARDIAC & CARDIOVASCULAR SYSTEMS,13.081,Q1,SCIE
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,0733-8716,1558-0008,"ENGINEERING, ELECTRICAL & ELECTRONIC",13.081,Q1,SCIE
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,0733-8716,1558-0008, TELECOMMUNICATIONS,13.081,Q1,SCIE
Journal of Sport and Health Science,2095-2546,2213-2961,"HOSPITALITY, LEISURE, SPORT & TOURISM",13.077,Q1,SSCI
Journal of Sport and Health Science,2095-2546,2213-2961, SPORT SCIENCES,13.077,Q1,SCIE
JOURNAL OF INTERNAL MEDICINE,0954-6820,1365-2796,"MEDICINE, GENERAL & INTERNAL",13.068,Q1,SCIE
Molecular Systems Biology,1744-4292,1744-4292,BIOCHEMISTRY & MOLECULAR BIOLOGY,13.068,Q1,SCIE
MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,1092-2172,1098-5557,MICROBIOLOGY,13.044,Q1,SCIE
NEURO-ONCOLOGY,1522-8517,1523-5866,ONCOLOGY,13.029,Q1,SCIE
NEURO-ONCOLOGY,1522-8517,1523-5866, CLINICAL NEUROLOGY,13.029,Q1,SCIE
Advanced Fiber Materials,2524-7921,2524-793X,"MATERIALS SCIENCE, MULTIDISCIPLINARY",12.958,Q1,SCIE
Advanced Fiber Materials,2524-7921,2524-793X," MATERIALS SCIENCE, TEXTILES",12.958,Q1,SCIE
CHINESE JOURNAL OF CATALYSIS,0253-9837,1872-2067,"ENGINEERING, CHEMICAL",12.92,Q1,SCIE
CHINESE JOURNAL OF CATALYSIS,0253-9837,1872-2067," CHEMISTRY, APPLIED",12.92,Q1,SCIE
CHINESE JOURNAL OF CATALYSIS,0253-9837,1872-2067," CHEMISTRY, PHYSICAL",12.92,Q1,SCIE
MOLECULAR THERAPY,1525-0016,1525-0024,GENETICS & HEREDITY,12.91,Q1,SCIE
MOLECULAR THERAPY,1525-0016,1525-0024," MEDICINE, RESEARCH & EXPERIMENTAL",12.91,Q1,SCIE
MOLECULAR THERAPY,1525-0016,1525-0024, BIOTECHNOLOGY & APPLIED MICROBIOLOGY,12.91,Q1,SCIE
JOURNAL OF ECONOMIC LITERATURE,0022-0515,2328-8175,ECONOMICS,12.905,Q1,SSCI
ANAESTHESIA,0003-2409,1365-2044,ANESTHESIOLOGY,12.893,Q1,SCIE
GENES & DEVELOPMENT,0890-9369,1549-5477,GENETICS & HEREDITY,12.89,Q1,SCIE
GENES & DEVELOPMENT,0890-9369,1549-5477, DEVELOPMENTAL BIOLOGY,12.89,Q1,SCIE
GENES & DEVELOPMENT,0890-9369,1549-5477, CELL BIOLOGY,12.89,Q1,SCIE
LEUKEMIA,0887-6924,1476-5551,HEMATOLOGY,12.883,Q1,SCIE
LEUKEMIA,0887-6924,1476-5551, ONCOLOGY,12.883,Q1,SCIE
TOURISM MANAGEMENT,0261-5177,1879-3193,MANAGEMENT,12.879,Q1,SSCI
TOURISM MANAGEMENT,0261-5177,1879-3193," HOSPITALITY, LEISURE, SPORT & TOURISM",12.879,Q1,SSCI
TOURISM MANAGEMENT,0261-5177,1879-3193, ENVIRONMENTAL STUDIES,12.879,Q1,SSCI
CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE,1359-0286,1879-0348,"PHYSICS, CONDENSED MATTER",12.857,Q1,SCIE
CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE,1359-0286,1879-0348," PHYSICS, APPLIED",12.857,Q1,SCIE
CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE,1359-0286,1879-0348," MATERIALS SCIENCE, MULTIDISCIPLINARY",12.857,Q1,SCIE
ANNALS OF TOURISM RESEARCH,0160-7383,1873-7722,SOCIOLOGY,12.853,Q1,SSCI
ANNALS OF TOURISM RESEARCH,0160-7383,1873-7722," HOSPITALITY, LEISURE, SPORT & TOURISM",12.853,Q1,SSCI
Engineering,2095-8099,2096-0026,"ENGINEERING, MULTIDISCIPLINARY",12.834,Q1,SCIE
Journal of Advanced Research,2090-1232,2090-1224,MULTIDISCIPLINARY SCIENCES,12.822,Q1,SCIE
BIOLOGICAL PSYCHIATRY,0006-3223,1873-2402,PSYCHIATRY,12.81,Q1,SCIE
BIOLOGICAL PSYCHIATRY,0006-3223,1873-2402, NEUROSCIENCES,12.81,Q1,SCIE
AGE AND AGEING,0002-0729,1468-2834,GERIATRICS & GERONTOLOGY,12.782,Q1,SCIE
Green Energy & Environment,2096-2797,2468-0257,"CHEMISTRY, PHYSICAL",12.781,Q1,SCIE
Green Energy & Environment,2096-2797,2468-0257, GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,12.781,Q1,SCIE
Green Energy & Environment,2096-2797,2468-0257," ENGINEERING, CHEMICAL",12.781,Q1,SCIE
Green Energy & Environment,2096-2797,2468-0257, ENERGY & FUELS,12.781,Q1,SCIE
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0027-8424,1091-6490,MULTIDISCIPLINARY SCIENCES,12.779,Q1,SCIE
IEEE WIRELESS COMMUNICATIONS,1536-1284,1558-0687,"ENGINEERING, ELECTRICAL & ELECTRONIC",12.777,Q1,SCIE
IEEE WIRELESS COMMUNICATIONS,1536-1284,1558-0687, TELECOMMUNICATIONS,12.777,Q1,SCIE
IEEE WIRELESS COMMUNICATIONS,1536-1284,1558-0687," COMPUTER SCIENCE, INFORMATION SYSTEMS",12.777,Q1,SCIE
IEEE WIRELESS COMMUNICATIONS,1536-1284,1558-0687," COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",12.777,Q1,SCIE
MEDICAL JOURNAL OF AUSTRALIA,0025-729X,1326-5377,"MEDICINE, GENERAL & INTERNAL",12.776,Q1,SCIE
JOURNAL OF BIOMEDICAL SCIENCE,1021-7770,1423-0127,"MEDICINE, RESEARCH & EXPERIMENTAL",12.771,Q1,SCIE
JOURNAL OF BIOMEDICAL SCIENCE,1021-7770,1423-0127, CELL BIOLOGY,12.771,Q1,SCIE
Journal of the National Comprehensive Cancer Network,1540-1405,1540-1413,ONCOLOGY,12.693,Q1,SCIE
JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH,,1756-9966,ONCOLOGY,12.658,Q1,SCIE
Annual Review of Organizational Psychology and Organizational Behavior,2327-0608,2327-0616,MANAGEMENT,12.553,Q1,SSCI
Annual Review of Organizational Psychology and Organizational Behavior,2327-0608,2327-0616," PSYCHOLOGY, APPLIED",12.553,Q1,SSCI
BIOSENSORS & BIOELECTRONICS,0956-5663,1873-4235,"CHEMISTRY, ANALYTICAL",12.545,Q1,SCIE
BIOSENSORS & BIOELECTRONICS,0956-5663,1873-4235, ELECTROCHEMISTRY,12.545,Q1,SCIE
BIOSENSORS & BIOELECTRONICS,0956-5663,1873-4235, BIOTECHNOLOGY & APPLIED MICROBIOLOGY,12.545,Q1,SCIE
BIOSENSORS & BIOELECTRONICS,0956-5663,1873-4235, BIOPHYSICS,12.545,Q1,SCIE
BIOSENSORS & BIOELECTRONICS,0956-5663,1873-4235, NANOSCIENCE & NANOTECHNOLOGY,12.545,Q1,SCIE
JACC-Heart Failure,2213-1779,2213-1787,CARDIAC & CARDIOVASCULAR SYSTEMS,12.544,Q1,SCIE
ADMINISTRATIVE SCIENCE QUARTERLY,0001-8392,1930-3815,BUSINESS,12.529,Q1,SSCI
ADMINISTRATIVE SCIENCE QUARTERLY,0001-8392,1930-3815, MANAGEMENT,12.529,Q1,SSCI
Journal for ImmunoTherapy of Cancer,,2051-1426,IMMUNOLOGY,12.469,Q1,SCIE
Journal for ImmunoTherapy of Cancer,,2051-1426, ONCOLOGY,12.469,Q1,SCIE
AMERICAN SOCIOLOGICAL REVIEW,0003-1224,1939-8271,SOCIOLOGY,12.444,Q1,SSCI
EUROPEAN JOURNAL OF EPIDEMIOLOGY,0393-2990,1573-7284,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",12.434,Q1,SCIE
Liver Cancer,2235-1795,1664-5553,GASTROENTEROLOGY & HEPATOLOGY,12.43,Q1,SCIE
Liver Cancer,2235-1795,1664-5553, ONCOLOGY,12.43,Q1,SCIE
PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,0146-6410,1873-2224,"PHYSICS, NUCLEAR",12.425,Q1,SCIE
PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,0146-6410,1873-2224," PHYSICS, PARTICLES & FIELDS",12.425,Q1,SCIE
BASIC RESEARCH IN CARDIOLOGY,0300-8428,1435-1803,CARDIAC & CARDIOVASCULAR SYSTEMS,12.416,Q1,SCIE
Annual Review of Analytical Chemistry,1936-1327,1936-1335,SPECTROSCOPY,12.4,Q1,SCIE
Annual Review of Analytical Chemistry,1936-1327,1936-1335," CHEMISTRY, ANALYTICAL",12.4,Q1,SCIE
MEDICINAL RESEARCH REVIEWS,0198-6325,1098-1128,PHARMACOLOGY & PHARMACY,12.388,Q1,SCIE
MEDICINAL RESEARCH REVIEWS,0198-6325,1098-1128," CHEMISTRY, MEDICINAL",12.388,Q1,SCIE
NEUROPSYCHOBIOLOGY,0302-282X,1423-0224,PSYCHOLOGY,12.329,Q1,SCIE
NEUROPSYCHOBIOLOGY,0302-282X,1423-0224, PSYCHIATRY,12.329,Q1,SCIE
NEUROPSYCHOBIOLOGY,0302-282X,1423-0224, NEUROSCIENCES,12.329,Q1,SCIE
NANO LETTERS,1530-6984,1530-6992,NANOSCIENCE & NANOTECHNOLOGY,12.262,Q1,SCIE
NANO LETTERS,1530-6984,1530-6992," PHYSICS, CONDENSED MATTER",12.262,Q1,SCIE
NANO LETTERS,1530-6984,1530-6992," CHEMISTRY, PHYSICAL",12.262,Q1,SCIE
NANO LETTERS,1530-6984,1530-6992," CHEMISTRY, MULTIDISCIPLINARY",12.262,Q1,SCIE
NANO LETTERS,1530-6984,1530-6992," PHYSICS, APPLIED",12.262,Q1,SCIE
NANO LETTERS,1530-6984,1530-6992," MATERIALS SCIENCE, MULTIDISCIPLINARY",12.262,Q1,SCIE
npj Computational Materials,,2057-3960,"MATERIALS SCIENCE, MULTIDISCIPLINARY",12.256,Q1,SCIE
npj Computational Materials,,2057-3960," CHEMISTRY, PHYSICAL",12.256,Q1,SCIE
IEEE TRANSACTIONS ON FUZZY SYSTEMS,1063-6706,1941-0034,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",12.253,Q1,SCIE
IEEE TRANSACTIONS ON FUZZY SYSTEMS,1063-6706,1941-0034," ENGINEERING, ELECTRICAL & ELECTRONIC",12.253,Q1,SCIE
PERIODONTOLOGY 2000,0906-6713,1600-0757,"DENTISTRY, ORAL SURGERY & MEDICINE",12.239,Q1,SCIE
EcoMat,,2567-3173,"MATERIALS SCIENCE, MULTIDISCIPLINARY",12.213,Q1,SCIE
EcoMat,,2567-3173," CHEMISTRY, PHYSICAL",12.213,Q1,SCIE
EcoMat,,2567-3173, GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,12.213,Q1,SCIE
npj Clean Water,2059-7037,2059-7037,ENVIRONMENTAL SCIENCES,12.19,Q1,SCIE
npj Clean Water,2059-7037,2059-7037, WATER RESOURCES,12.19,Q1,SCIE
npj Clean Water,2059-7037,2059-7037," ENGINEERING, CHEMICAL",12.19,Q1,SCIE
CLINICAL CHEMISTRY,0009-9147,1530-8561,MEDICAL LABORATORY TECHNOLOGY,12.167,Q1,SCIE
EXPERIMENTAL AND MOLECULAR MEDICINE,1226-3613,2092-6413,"MEDICINE, RESEARCH & EXPERIMENTAL",12.153,Q1,SCIE
EXPERIMENTAL AND MOLECULAR MEDICINE,1226-3613,2092-6413, BIOCHEMISTRY & MOLECULAR BIOLOGY,12.153,Q1,SCIE
PSYCHIATRY AND CLINICAL NEUROSCIENCES,1323-1316,1440-1819,NEUROSCIENCES,12.145,Q1,SCIE
PSYCHIATRY AND CLINICAL NEUROSCIENCES,1323-1316,1440-1819, PSYCHIATRY,12.145,Q1,SCIE
PSYCHIATRY AND CLINICAL NEUROSCIENCES,1323-1316,1440-1819, CLINICAL NEUROLOGY,12.145,Q1,SCIE
HARVARD BUSINESS REVIEW,0017-8012,0017-8012,BUSINESS,12.129,Q1,SSCI
HARVARD BUSINESS REVIEW,0017-8012,0017-8012, MANAGEMENT,12.129,Q1,SSCI
PLANT CELL,1040-4651,1532-298X,CELL BIOLOGY,12.085,Q1,SCIE
PLANT CELL,1040-4651,1532-298X, PLANT SCIENCES,12.085,Q1,SCIE
PLANT CELL,1040-4651,1532-298X, BIOCHEMISTRY & MOLECULAR BIOLOGY,12.085,Q1,SCIE
JOURNAL OF VOCATIONAL BEHAVIOR,0001-8791,1095-9084,"PSYCHOLOGY, APPLIED",12.082,Q1,SSCI
JOURNAL OF PINEAL RESEARCH,0742-3098,1600-079X,ENDOCRINOLOGY & METABOLISM,12.081,Q1,SCIE
JOURNAL OF PINEAL RESEARCH,0742-3098,1600-079X, NEUROSCIENCES,12.081,Q1,SCIE
JOURNAL OF PINEAL RESEARCH,0742-3098,1600-079X, PHYSIOLOGY,12.081,Q1,SCIE
Annual Review of Political Science,1094-2939,1545-1577,POLITICAL SCIENCE,12.077,Q1,SSCI
INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES,1201-9712,1878-3511,INFECTIOUS DISEASES,12.074,Q1,SCIE
CELL DEATH AND DIFFERENTIATION,1350-9047,1476-5403,BIOCHEMISTRY & MOLECULAR BIOLOGY,12.067,Q1,SCIE
CELL DEATH AND DIFFERENTIATION,1350-9047,1476-5403, CELL BIOLOGY,12.067,Q1,SCIE
Journal of Cachexia Sarcopenia and Muscle,2190-5991,2190-6009,GERIATRICS & GERONTOLOGY,12.063,Q1,SCIE
Journal of Cachexia Sarcopenia and Muscle,2190-5991,2190-6009," MEDICINE, GENERAL & INTERNAL",12.063,Q1,SCIE
AMERICAN JOURNAL OF GASTROENTEROLOGY,0002-9270,1572-0241,GASTROENTEROLOGY & HEPATOLOGY,12.045,Q1,SCIE
EARTH-SCIENCE REVIEWS,0012-8252,1872-6828,"GEOSCIENCES, MULTIDISCIPLINARY",12.038,Q1,SCIE
Cancer Immunology Research,2326-6066,2326-6074,IMMUNOLOGY,12.02,Q1,SCIE
Cancer Immunology Research,2326-6066,2326-6074, ONCOLOGY,12.02,Q1,SCIE
npj Flexible Electronics,,2397-4621,"MATERIALS SCIENCE, MULTIDISCIPLINARY",12.019,Q1,SCIE
npj Flexible Electronics,,2397-4621," ENGINEERING, ELECTRICAL & ELECTRONIC",12.019,Q1,SCIE
Cochrane Database of Systematic Reviews,1469-493X,1361-6137,"MEDICINE, GENERAL & INTERNAL",12.008,Q1,SCIE
CEMENT AND CONCRETE RESEARCH,0008-8846,1873-3948,CONSTRUCTION & BUILDING TECHNOLOGY,11.958,Q1,SCIE
CEMENT AND CONCRETE RESEARCH,0008-8846,1873-3948," MATERIALS SCIENCE, MULTIDISCIPLINARY",11.958,Q1,SCIE
Annual Review of Control Robotics and Autonomous Systems,2573-5144,2573-5144,ROBOTICS,11.943,Q1,SCIE
Annual Review of Control Robotics and Autonomous Systems,2573-5144,2573-5144, AUTOMATION & CONTROL SYSTEMS,11.943,Q1,SCIE
SPORTS MEDICINE,0112-1642,1179-2035,SPORT SCIENCES,11.928,Q1,SCIE
Annual Review of Cell and Developmental Biology,1081-0706,1530-8995,CELL BIOLOGY,11.902,Q1,SCIE
Annual Review of Cell and Developmental Biology,1081-0706,1530-8995, DEVELOPMENTAL BIOLOGY,11.902,Q1,SCIE
BIORESOURCE TECHNOLOGY,0960-8524,1873-2976,ENERGY & FUELS,11.889,Q1,SCIE
BIORESOURCE TECHNOLOGY,0960-8524,1873-2976, BIOTECHNOLOGY & APPLIED MICROBIOLOGY,11.889,Q1,SCIE
BIORESOURCE TECHNOLOGY,0960-8524,1873-2976, AGRICULTURAL ENGINEERING,11.889,Q1,SCIE
PHYSIOLOGY,1548-9213,1548-9221,PHYSIOLOGY,11.846,Q1,SCIE
TRENDS IN GENETICS,0168-9525,1362-4555,GENETICS & HEREDITY,11.821,Q1,SCIE
JAMA Dermatology,2168-6068,2168-6084,DERMATOLOGY,11.816,Q1,SCIE
JNCI-Journal of the National Cancer Institute,0027-8874,1460-2105,ONCOLOGY,11.816,Q1,SCIE
Earth System Science Data,1866-3508,1866-3516,"GEOSCIENCES, MULTIDISCIPLINARY",11.815,Q1,SCIE
Earth System Science Data,1866-3508,1866-3516, METEOROLOGY & ATMOSPHERIC SCIENCES,11.815,Q1,SCIE
Journal of Magnesium and Alloys,2213-9567,2213-9567,METALLURGY & METALLURGICAL ENGINEERING,11.813,Q1,SCIE
Advanced Composites and Hybrid Materials,2522-0128,2522-0136,NANOSCIENCE & NANOTECHNOLOGY,11.806,Q1,SCIE
Advanced Composites and Hybrid Materials,2522-0128,2522-0136," MATERIALS SCIENCE, COMPOSITES",11.806,Q1,SCIE
JOURNAL OF APPLIED PSYCHOLOGY,0021-9010,1939-1854,"PSYCHOLOGY, APPLIED",11.802,Q1,SSCI
JOURNAL OF APPLIED PSYCHOLOGY,0021-9010,1939-1854, MANAGEMENT,11.802,Q1,SSCI
NEUROLOGY,0028-3878,1526-632X,CLINICAL NEUROLOGY,11.8,Q1,SCIE
AGEING RESEARCH REVIEWS,1568-1637,1872-9649,GERIATRICS & GERONTOLOGY,11.788,Q1,SCIE
AGEING RESEARCH REVIEWS,1568-1637,1872-9649, CELL BIOLOGY,11.788,Q1,SCIE
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,0924-2716,1872-8235,REMOTE SENSING,11.774,Q1,SCIE
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,0924-2716,1872-8235," GEOSCIENCES, MULTIDISCIPLINARY",11.774,Q1,SCIE
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,0924-2716,1872-8235," GEOGRAPHY, PHYSICAL",11.774,Q1,SCIE
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,0924-2716,1872-8235, IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY,11.774,Q1,SCIE
Seminars in Immunopathology,1863-2297,1863-2300,IMMUNOLOGY,11.759,Q1,SCIE
Seminars in Immunopathology,1863-2297,1863-2300, PATHOLOGY,11.759,Q1,SCIE
CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY,1064-3389,1547-6537,ENVIRONMENTAL SCIENCES,11.75,Q1,SCIE
BRITISH JOURNAL OF ANAESTHESIA,0007-0912,1471-6771,ANESTHESIOLOGY,11.719,Q1,SCIE
Journal of Industrial Information Integration,2467-964X,2452-414X,"ENGINEERING, INDUSTRIAL",11.718,Q1,SCIE
Journal of Industrial Information Integration,2467-964X,2452-414X," COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",11.718,Q1,SCIE
Nanoscale Horizons,2055-6756,2055-6764,NANOSCIENCE & NANOTECHNOLOGY,11.684,Q1,SCIE
Nanoscale Horizons,2055-6756,2055-6764," MATERIALS SCIENCE, MULTIDISCIPLINARY",11.684,Q1,SCIE
Nanoscale Horizons,2055-6756,2055-6764," CHEMISTRY, PHYSICAL",11.684,Q1,SCIE
CALIFORNIA MANAGEMENT REVIEW,0008-1256,2162-8564,BUSINESS,11.678,Q1,SSCI
CALIFORNIA MANAGEMENT REVIEW,0008-1256,2162-8564, MANAGEMENT,11.678,Q1,SSCI
JOURNAL OF CLINICAL MICROBIOLOGY,0095-1137,1098-660X,MICROBIOLOGY,11.677,Q1,SCIE
PERSOONIA,0031-5850,,MYCOLOGY,11.658,Q1,SCIE
IEEE Transactions on Industrial Informatics,1551-3203,1941-0050,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",11.648,Q1,SCIE
IEEE Transactions on Industrial Informatics,1551-3203,1941-0050," ENGINEERING, INDUSTRIAL",11.648,Q1,SCIE
IEEE Transactions on Industrial Informatics,1551-3203,1941-0050, AUTOMATION & CONTROL SYSTEMS,11.648,Q1,SCIE
Additive Manufacturing,2214-8604,2214-7810,"MATERIALS SCIENCE, MULTIDISCIPLINARY",11.632,Q1,SCIE
Additive Manufacturing,2214-8604,2214-7810," ENGINEERING, MANUFACTURING",11.632,Q1,SCIE
Perspectives on Psychological Science,1745-6916,1745-6924,"PSYCHOLOGY, MULTIDISCIPLINARY",11.621,Q1,SSCI
PLOS MEDICINE,1549-1277,1549-1676,"MEDICINE, GENERAL & INTERNAL",11.613,Q1,SCIE
Theranostics,1838-7640,1838-7640,"MEDICINE, RESEARCH & EXPERIMENTAL",11.6,Q1,SCIE
Advances in Nutrition,2161-8313,2156-5376,NUTRITION & DIETETICS,11.567,Q1,SCIE
BIOSCIENCE,0006-3568,1525-3244,BIOLOGY,11.566,Q1,SCIE
AMERICAN JOURNAL OF PUBLIC HEALTH,0090-0036,1541-0048,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",11.561,Q1,SSCI
AMERICAN JOURNAL OF PUBLIC HEALTH,0090-0036,1541-0048," PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",11.561,Q1,SCIE
